commit.sha,commit.author.name,commit.committer.name,pull_requests.users.name,pull_requests.assignees.name,pull_requests.requested_reviewers.name,pull_requests.merged_by.name,comments.users.name
1c254c98e59a236f1ce25257e911e2ca8ccfcc29,,,[None],[],[],[],[]
2ea4055c6e4d7022972fbb25824e652c0e84d29d,,,[None],[],[],[],[]
1437f4d2dc52c494a7c6c2e9b937e7ba0c229d83,,,[None],[],[],[],[]
fc61ae9c73a1002d3704d9becae3c294e58de060,,,[None],[],[],[],[]
799d236511c9be978a8fce650cc859e67b8a6ad4,,,[None],[],[],[],[]
8a71cadcd8c8429bcd57ab5c6b87b2a3a88f3e00,,,[None],[],[],[],[]
99d296e7f197c961c08d6f2902f7b5ede5717a68,,,[None],[],[],[],[]
761db910d474b65d5b5d50da4d7cf510505d60ba,,,[None],[],[],[],[]
67c1b4f6e3973d070f2dec28d295b6418afebdeb,,,[None],[],[],[],[]
a2a4fd34473c7627c15bd3480bd6248527a6c0d6,,,[None],[],[],[],[]
1eef0349847eeda6bb4e636743a78cfb821d7339,,,[None],[],[],[],[]
36353deaba42debc1606a23e7b9d80f716640ea4,,,[None],[],[],[],[]
909a0b3ac551f4ee17e52ce82dd42d2e18fb146b,,,[None],[],[],[],[]
d389b576f71f0edad4dda5d2afb6519415e36279,,,[None],[],[],[],[]
89bce73071ec6f2dab1165cfc26a82c79cc983b0,,,[None],[],[],[],[]
c2dd33eb4d6999d5a08b6b1c4af565e0c77e53a6,,,[None],[],[],[],[]
f826efdd8286dbedcbf3d72b84bc69d0ce729cf4,,,[None],[],[],[],[]
970f575caf0736f020872defa4389c9ea1a72ee7,,,[None],[],[],[],[]
7cbb980626adcfd5ab2ab4535ec0bb7ceede3c4d,,,[None],[],[],[],[]
43f0094dffe8e1e59c5f0df1495aea4992f12330,,,[None],[],[],[],[]
a46817aa66431efc41b059a0d4c43d859ada124d,,GitHub Web Flow,[None],[],[],[],[]
3b21fce950f952b2632cda1f396457c9ea9b6807,,,[None],[],[],[],[]
c2ae05b5495106d814b99e2a824b56a1cbbdc129,,,[None],[],[],[],[]
5bc8cfaa46a9361ade7e65c63b73c64c3c73e07b,,GitHub Web Flow,[None],[],[],[],[]
9c0a3e5ae0b79f6eeba4448080658fa5679d8cdf,,,[None],[],[],[],[]
a7b2b6bd6eeb28f6320e948023dece67067cf8be,,,[None],[],[],[],[]
311519de3d483d143b0467d896e9a088f77d0a60,,,[None],[],[],[],[]
4cdce36bdc39e85583994828c2c89be04758c46e,,,[],[],[],[],[]
16e23596d6de672150e6fa74e5af8de5fcf18322,,,[],[],[],[],[]
cb593e828e9dcf0c5322f592a55df8ba1847b387,,,[],[],[],[],[]
850bb013b3a70716427a50dbbc9e36d55b984726,,,[],[],[],[],[]
5288c56022b0ecb4097a26bf384186dabb1fb7bb,,,[],[],[],[],[]
3722461f8a85bb1fad3b82c18739ea8ea787d86b,,,[],[],[],[],[]
99950400bfe7758b73a4ccb81d796df1c28f6b7a,,GitHub Web Flow,[None],[],[],[],[]
3a81e2da6a10ec570da8b9a314822fb36ab06164,,GitHub Web Flow,[None],[],[],[],[]
81a18ebf040733cd05c0f7773ccee63739d441ae,,GitHub Web Flow,[None],[],[],[],[]
